voter_id,dupe_flag
750534633,TRUE
752044678,TRUE
751713232,TRUE
750707090,TRUE
752173868,TRUE
752173869,TRUE
752033376,TRUE
752033377,TRUE
752125335,TRUE
752125334,TRUE
752140371,TRUE
752140368,TRUE
752146944,TRUE
752146946,TRUE
752122932,TRUE
752122928,TRUE
752178941,TRUE
752178939,TRUE
752101500,TRUE
752186584,TRUE
750629828,TRUE
751394560,TRUE
752095338,TRUE
752095341,TRUE
41767561,TRUE
752189476,TRUE
752189478,TRUE
752184039,TRUE
752184040,TRUE
461045821,TRUE
461045820,TRUE
752047873,TRUE
752047872,TRUE
752023394,TRUE
752023393,TRUE
461045694,TRUE
461045695,TRUE
752046895,TRUE
752046885,TRUE
752134010,TRUE
752134014,TRUE
752143003,TRUE
752142996,TRUE
752024980,TRUE
752024979,TRUE
752135029,TRUE
752135035,TRUE
752135015,TRUE
752135019,TRUE
752133814,TRUE
752133819,TRUE
752159869,TRUE
752159866,TRUE
752127167,TRUE
752127170,TRUE
752165573,TRUE
752165565,TRUE
752141283,TRUE
752141286,TRUE
752118025,TRUE
752118022,TRUE
752145073,TRUE
752145069,TRUE
752188304,TRUE
752188309,TRUE
752188313,TRUE
752186294,TRUE
752186298,TRUE
750757861,TRUE
752019198,TRUE
